,year,name,milliseconds,time_minutes,engine_type
3,2000,Monaco Grand Prix,85511.05443371378,01:25.511,V10
7,2001,Monaco Grand Prix,85217.3831858407,01:25.217,V10
11,2002,Monaco Grand Prix,83429.29637841832,01:23.429,V10
14,2003,Monaco Grand Prix,80484.47304347825,01:20.484,V10
18,2004,Monaco Grand Prix,85515.9226519337,01:25.515,V10
22,2005,Monaco Grand Prix,82586.50537634408,01:22.586,V10
2,2000,Italian Grand Prix,103042.18385650225,01:43.042,V10
6,2001,Italian Grand Prix,89274.42396313364,01:29.274,V10
10,2002,Italian Grand Prix,88326.60542540075,01:28.326,V10
13,2003,Italian Grand Prix,86474.21156211563,01:26.474,V10
17,2004,Italian Grand Prix,86690.60398230089,01:26.690,V10
21,2005,Italian Grand Prix,86136.43732057416,01:26.136,V10
1,2000,British Grand Prix,90448.9255774166,01:30.448,V10
5,2001,British Grand Prix,88000.1361788618,01:28.000,V10
9,2002,British Grand Prix,94557.16052060737,01:34.557,V10
12,2003,British Grand Prix,90055.14385964912,01:30.055,V10
16,2004,British Grand Prix,85765.57287822878,01:25.765,V10
20,2005,British Grand Prix,86659.92850838482,01:26.659,V10
0,2000,Belgian Grand Prix,123424.7850241546,02:03.424,V10
4,2001,Belgian Grand Prix,116570.86470588236,01:56.570,V10
8,2002,Belgian Grand Prix,112631.64256480218,01:52.631,V10
15,2004,Belgian Grand Prix,126997.63295269168,02:06.997,V10
19,2005,Belgian Grand Prix,126147.69726027397,02:06.147,V10
