,year,name,milliseconds,time_minutes
3,2009,Monaco Grand Prix,78432.49882537196,01:18.432
7,2010,Monaco Grand Prix,85808.72845763939,01:25.808
11,2011,Monaco Grand Prix,99203.54301745637,01:39.203
15,2012,Monaco Grand Prix,82576.82849239281,01:22.576
19,2013,Monaco Grand Prix,106209.10978043912,01:46.209
2,2009,Italian Grand Prix,88049.08351893096,01:28.049
6,2010,Italian Grand Prix,88298.86968325792,01:28.298
10,2011,Italian Grand Prix,95309.73903262093,01:35.309
14,2012,Italian Grand Prix,91499.33137089992,01:31.499
18,2013,Italian Grand Prix,89949.15528531338,01:29.949
1,2009,British Grand Prix,84317.45811518324,01:24.317
5,2010,British Grand Prix,99351.35216240071,01:39.351
9,2011,British Grand Prix,104956.72372093023,01:44.956
13,2012,British Grand Prix,99808.07019143118,01:39.808
17,2013,British Grand Prix,107805.83588818756,01:47.805
0,2009,Belgian Grand Prix,115552.62745098039,01:55.552
4,2010,Belgian Grand Prix,122916.42608695652,02:02.916
8,2011,Belgian Grand Prix,120528.80518018018,02:00.528
12,2012,Belgian Grand Prix,124004.40853658537,02:04.004
16,2013,Belgian Grand Prix,116210.28764044945,01:56.210
