,year,driver_name,points
1268,1990,senna,78.0
1222,1989,prost,81.0
1174,1988,prost,105.0
1142,1987,piquet,76.0
1110,1986,prost,74.0
1077,1985,prost,76.0
1034,1984,lauda,72.0
1003,1983,piquet,59.0
956,1982,keke_rosberg,44.0
925,1981,piquet,50.0
875,1980,jones,71.0
853,1979,scheckter,60.0
804,1978,mario_andretti,64.0
744,1977,lauda,72.0
678,1976,hunt,69.0
632,1975,lauda,64.5
560,1974,emerson_fittipaldi,55.0
542,1973,stewart,71.0
473,1972,emerson_fittipaldi,61.0
458,1971,stewart,62.0
403,1970,rindt,45.0
367,1969,stewart,63.0
313,1968,hill,48.0
271,1967,hulme,51.0
234,1966,jack_brabham,45.0
179,1965,clark,54.0
143,1964,hill,41.0
76,1963,clark,73.0
22,1962,hill,52.0
